Model,Manufacturer,Model_year,Drivetrain,Warranty,Accident,Condition,Battery,Mileage,knn,knn_2,Price
ID4,V사,y0,AWD,w7,No,Brand New,90.0,7995,33.49,33.49,33.49
MY,T사,y0,AWD,w2,No,Pre-Owned,58.707,151131,76.28,76.28,76.51
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,67.378,61481,151.2,151.2,151.21
Tay,P사,y0,AWD,w2,No,Brand New,90.0,6009,97.79,103.0,95.0
MX,T사,y0,AWD,w8,No,Brand New,99.8,6225,71.95,71.95,71.95
TayCT,P사,y2,AWD,w0,No,Nearly New,76.093,34595,119.07,119.07,119.07
KNE,H사,y0,FWD,w10,No,Brand New,90.0,1083,22.1,22.1,22.1
Soul,K사,y0,FWD,w4,No,Pre-Owned,50.096,153599,22.11,22.11,22.12
IONIQ,H사,y1,FWD,w1,No,Nearly New,62.78,21704,23.82,23.82,23.82
i3,B사,y2,AWD,w6,No,Nearly New,56.0,20817,24.0,24.0,24.0
Niro,K사,y0,FWD,w4,No,Pre-Owned,50.096,97824,27.94,27.94,27.94
i3,B사,y0,AWD,w1,No,Pre-Owned,46.0,139978,22.95,22.95,22.95
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,1328,59.46,59.46,59.46
ID4,V사,y1,AWD,w5,No,Nearly New,68.125,11357,40.54,40.54,40.54
eT,A사,y0,AWD,w8,No,Brand New,95.0,2827,59.6,59.6,59.61
ION6,H사,y0,AWD,w4,No,Pre-Owned,60.585,174397,37.99,37.99,38.0
Q4eT,A사,y0,AWD,w0,No,Pre-Owned,59.154,148896,55.97,55.97,55.97
Soul,K사,y0,FWD,w9,No,Brand New,90.0,2194,21.04,21.04,21.05
ION6,H사,y0,AWD,w10,No,Brand New,90.0,7400,39.0,39.0,39.0
Tay,P사,y0,AWD,w2,No,Pre-Owned,59.515,184821,118.38,118.38,118.38
ION6,H사,y2,AWD,w8,No,Nearly New,71.332,42585,37.95,37.95,37.95
ION5,H사,y0,AWD,w1,No,Pre-Owned,53.602,106141,34.25,34.25,34.26
ID4,V사,y0,AWD,w1,No,Pre-Owned,57.861,106252,40.03,40.03,40.61
EV6,K사,y0,FWD,w9,Yes,Brand New,90.0,3318,41.77,41.77,41.78
TayCT,P사,y0,AWD,w2,Yes,Brand New,90.0,483,121.17,121.0,121.18
IONIQ,H사,y1,FWD,w3,No,Pre-Owned,52.18,76024,12.11,12.11,12.12
Niro,K사,y2,AWD,w8,No,Nearly New,58.982,32124,27.86,27.86,27.87
M3,T사,y0,RWD,w7,No,Brand New,90.0,4543,47.32,47.32,47.33
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,4416,160.62,160.62,160.62
Tay,P사,y0,AWD,w2,No,Brand New,90.0,7309,103.24,95.0,103.24
iX,B사,y0,RWD,w7,No,Brand New,90.0,2533,80.51,80.51,80.52
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,67.378,138266,151.04,151.04,151.04
iX,B사,y0,AWD,w7,No,Brand New,90.0,1850,80.82,80.82,80.82
Soul,K사,y2,FWD,w8,No,Nearly New,58.982,31762,23.67,23.67,22.42
TayCT,P사,y2,AWD,w0,No,Nearly New,76.093,22939,119.12,119.12,119.3
Tay,P사,y0,AWD,w2,No,Brand New,90.0,8244,103.16,95.0,103.16
MS,T사,y0,AWD,w7,No,Brand New,96.0,8491,69.16,69.16,69.17
MY,T사,y0,AWD,w0,No,Pre-Owned,51.94,141939,74.25,74.25,74.26
Soul,K사,y0,FWD,w3,No,Pre-Owned,48.093,92198,22.23,22.23,22.23
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,414,59.88,59.88,59.89
MS,T사,y0,AWD,w3,No,Nearly New,81.537,30154,82.36,82.36,82.37
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,68795,125.21,125.0,125.21
Niro,K사,y0,AWD,w6,No,Nearly New,56.0,49423,27.66,27.66,27.67
Tay,P사,y0,AWD,w2,No,Brand New,90.0,2353,104.54,95.0,104.54
KNE,H사,y0,FWD,w2,No,Pre-Owned,68.488,67398,26.92,26.92,26.92
RSeTGT,A사,y1,AWD,w5,Yes,Nearly New,78.227,21162,99.17,99.17,99.0
ID4,V사,y0,AWD,w7,No,Brand New,90.0,4796,34.23,34.23,33.93
ID4,V사,y2,AWD,w6,No,Nearly New,70.963,39605,37.09,37.09,37.1
i5,B사,y0,AWD,w0,No,Pre-Owned,58.577,156568,60.36,60.36,60.36
Q4eT,A사,y2,AWD,w6,No,Nearly New,75.571,19096,53.51,53.51,53.52
Soul,K사,y0,FWD,w2,Yes,Pre-Owned,46.169,147497,22.03,22.03,22.04
i3,B사,y0,RWD,w0,No,Pre-Owned,46.0,141080,22.69,22.69,22.55
ION5,H사,y1,AWD,w7,Yes,Nearly New,68.479,39644,35.0,35.0,35.0
eT,A사,y0,AWD,w8,No,Brand New,95.0,7668,59.86,59.86,59.86
MS,T사,y0,AWD,w7,No,Brand New,96.0,8549,69.41,69.41,69.41
i3,B사,y0,AWD,w2,No,Pre-Owned,46.0,133098,22.66,22.66,22.66
ION6,H사,y0,AWD,w4,No,Pre-Owned,60.585,100355,37.44,37.44,37.44
Q4eT,A사,y1,AWD,w5,No,Nearly New,72.548,42481,57.36,57.36,57.36
eT,A사,y0,AWD,w8,Yes,Brand New,95.0,7694,59.77,59.77,59.78
i3,B사,y0,AWD,w3,No,Nearly New,56.0,16545,23.93,23.93,23.94
MX,T사,y0,AWD,w3,No,Nearly New,81.537,46717,93.06,93.06,92.29
ID4,V사,y0,AWD,w8,No,Brand New,90.0,8767,40.81,40.81,40.82
ID4,V사,y0,AWD,w3,No,Nearly New,62.784,16399,40.97,40.97,41.1
i3,B사,y0,RWD,w4,No,Nearly New,56.0,13538,23.9,23.9,23.91
MS,T사,y0,AWD,w1,No,Pre-Owned,75.145,153991,81.09,81.09,81.09
ION6,H사,y0,AWD,w9,No,Brand New,90.0,4578,39.0,39.0,39.0
iX,B사,y0,RWD,w8,No,Brand New,90.0,1199,80.09,80.09,80.09
i3,B사,y0,AWD,w8,No,Brand New,90.0,8145,24.84,24.84,24.85
TayCT,P사,y0,AWD,w2,Yes,Pre-Owned,76.093,82307,124.97,125.0,124.97
ID4,V사,y0,AWD,w0,No,Pre-Owned,53.325,196955,39.26,39.26,39.27
MY,T사,y0,AWD,w8,No,Brand New,90.0,3854,74.62,74.62,74.63
iX,B사,y0,AWD,w7,No,Brand New,90.0,5232,80.87,80.87,80.87
Niro,K사,y0,FWD,w10,No,Brand New,90.0,4667,20.64,20.64,20.64
ID4,V사,y0,AWD,w2,No,Pre-Owned,60.272,192013,41.11,41.11,41.12
ION5,H사,y0,AWD,w10,No,Brand New,90.0,6236,35.1,35.1,35.11
ION6,H사,y0,AWD,w3,Yes,Pre-Owned,58.162,95914,37.92,37.92,37.93
M3,T사,y0,RWD,w0,No,Pre-Owned,51.94,166078,51.25,51.25,51.25
EV6,K사,y0,FWD,w10,No,Brand New,90.0,6708,47.91,47.91,47.91
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,6318,124.94,121.0,130.52
TayGTS,P사,y1,AWD,w1,No,Nearly New,82.634,30057,159.33,159.33,159.33
Soul,K사,y2,AWD,w8,No,Nearly New,58.982,25091,23.88,23.88,23.89
ION5,H사,y0,AWD,w3,No,Pre-Owned,58.162,176952,34.94,34.94,34.95
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,7719,59.99,59.99,60.0
Q4eT,A사,y1,AWD,w5,No,Nearly New,72.548,43261,57.42,57.42,57.53
iX,B사,y0,RWD,w7,No,Brand New,90.0,8313,79.36,79.36,79.46
Niro,K사,y0,FWD,w10,No,Brand New,90.0,1821,21.23,21.23,21.23
iX,B사,y0,RWD,w8,No,Brand New,90.0,1148,79.01,79.01,79.02
MX,T사,y0,AWD,w0,No,Pre-Owned,72.139,193048,87.4,87.4,87.4
eT,A사,y0,AWD,w2,No,Pre-Owned,74.362,194975,71.79,71.79,71.8
ID4,V사,y0,AWD,w0,No,Pre-Owned,55.547,90252,38.28,38.28,38.29
EV6,K사,y0,AWD,w9,No,Brand New,90.0,8227,41.21,41.21,41.22
ID4,V사,y2,AWD,w6,No,Nearly New,70.963,15428,36.63,36.63,36.01
i5,B사,y0,RWD,w4,No,Nearly New,68.967,49842,64.13,64.13,64.13
MX,T사,y0,AWD,w8,No,Brand New,99.8,8303,72.17,72.17,72.17
ION5,H사,y0,AWD,w9,No,Brand New,90.0,7339,35.1,35.1,35.11
Niro,K사,y0,AWD,w5,No,Nearly New,56.0,26957,28.53,28.53,28.53
ION6,H사,y0,AWD,w9,No,Brand New,90.0,2620,38.97,38.97,38.97
Soul,K사,y0,FWD,w3,No,Pre-Owned,48.093,91236,22.11,22.11,22.11
i3,B사,y0,RWD,w8,No,Brand New,90.0,8311,24.11,24.11,24.92
MX,T사,y0,AWD,w7,No,Brand New,96.0,9160,78.13,78.13,78.14
ID4,V사,y0,AWD,w8,No,Brand New,90.0,2406,40.42,40.42,40.09
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,9737,159.99,159.99,160.0
i3,B사,y0,RWD,w3,No,Nearly New,56.0,47958,23.15,23.15,23.15
Tay,P사,y0,AWD,w2,No,Brand New,90.0,1310,103.44,95.0,103.45
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,1620,120.0,121.0,120.0
MS,T사,y0,AWD,w7,No,Brand New,96.0,243,70.68,70.68,70.69
i3,B사,y0,AWD,w2,No,Pre-Owned,46.0,103905,23.49,23.49,23.5
M3,T사,y1,RWD,w5,No,Nearly New,66.355,21454,53.83,53.83,53.84
Soul,K사,y0,AWD,w9,No,Brand New,90.0,4822,21.45,21.45,21.45
KNE,H사,y0,FWD,w5,No,Nearly New,68.488,39965,28.22,28.22,27.96
MS,T사,y0,AWD,w3,No,Nearly New,81.537,29978,82.88,82.88,82.89
i5,B사,y0,AWD,w4,No,Nearly New,68.967,32218,63.61,63.61,63.61
TayCT,P사,y0,AWD,w2,Yes,Brand New,90.0,9360,120.69,121.0,120.69
RSeTGT,A사,y0,AWD,w3,No,Nearly New,78.227,23780,100.06,100.06,100.06
ION6,H사,y0,AWD,w6,No,Nearly New,65.739,17130,37.44,37.44,37.44
Tay,P사,y0,AWD,w2,No,Nearly New,64.578,38626,120.18,120.18,120.19
iX,B사,y0,RWD,w8,No,Brand New,90.0,3045,80.11,80.11,80.11
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,6900,129.62,121.0,129.63
Q4eT,A사,y0,AWD,w2,No,Pre-Owned,64.186,123350,57.25,57.25,57.26
Soul,K사,y0,FWD,w4,No,Pre-Owned,50.096,131873,22.31,22.31,22.32
Niro,K사,y0,FWD,w1,No,Pre-Owned,46.0,85715,27.67,27.67,27.41
IONIQ,H사,y2,FWD,w3,No,Nearly New,46.34,21754,11.76,11.76,11.77
EV6,K사,y0,FWD,w10,Yes,Brand New,90.0,2571,48.54,48.54,48.54
ION6,H사,y0,AWD,w3,No,Pre-Owned,58.162,195252,37.94,37.94,37.39
i3,B사,y0,RWD,w3,No,Nearly New,56.0,28647,24.0,24.0,24.0
Niro,K사,y0,FWD,w3,No,Pre-Owned,48.093,190207,27.66,27.66,27.67
eT,A사,y0,AWD,w8,No,Brand New,95.0,1482,59.27,59.27,59.27
ID4,V사,y0,AWD,w0,No,Pre-Owned,53.325,75686,39.32,39.32,39.32
eT,A사,y0,AWD,w7,No,Brand New,91.2,646,65.3,65.3,65.31
ID4,V사,y0,AWD,w7,No,Brand New,90.0,3565,33.53,33.53,33.39
i3,B사,y0,AWD,w4,No,Nearly New,56.0,26499,23.91,23.91,23.92
M3,T사,y0,RWD,w8,No,Brand New,90.0,7901,54.28,54.28,54.29
i3,B사,y0,AWD,w1,No,Pre-Owned,46.0,54367,23.49,23.49,23.5
MY,T사,y0,AWD,w1,No,Pre-Owned,56.359,89786,76.44,76.44,77.28
eT,A사,y2,AWD,w6,No,Nearly New,87.552,13430,74.67,74.67,74.68
Niro,K사,y0,FWD,w4,No,Pre-Owned,50.096,118607,28.86,28.86,28.86
eT,A사,y0,AWD,w0,No,Pre-Owned,65.791,142376,69.5,69.5,69.51
ID4,V사,y0,AWD,w7,No,Brand New,90.0,8178,33.29,33.29,33.3
MY,T사,y1,AWD,w5,No,Nearly New,66.355,25859,74.2,74.2,74.13
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,6011,130.16,121.0,130.16
IONIQ,H사,y1,FWD,w1,No,Nearly New,49.22,19596,16.73,16.73,16.73
ION6,H사,y0,AWD,w9,No,Brand New,90.0,7447,38.75,38.75,38.76
RSeTGT,A사,y0,AWD,w7,No,Brand New,90.0,9631,100.13,100.13,100.14
MS,T사,y2,AWD,w6,No,Nearly New,92.16,30734,75.6,75.6,75.61
i5,B사,y0,AWD,w0,No,Pre-Owned,58.577,180138,61.54,61.54,61.54
MY,T사,y0,AWD,w0,Yes,Pre-Owned,54.104,90060,74.44,74.44,74.45
Soul,K사,y0,FWD,w6,No,Nearly New,56.0,42165,23.31,23.31,22.01
RSeTGT,A사,y0,AWD,w8,Yes,Brand New,90.0,30,100.06,100.06,100.07
ION6,H사,y1,AWD,w7,No,Nearly New,68.479,43230,37.99,37.99,38.0
i5,B사,y0,AWD,w7,No,Brand New,90.0,5237,65.58,65.58,64.61
MX,T사,y0,AWD,w4,No,Nearly New,96.0,28303,93.45,93.45,94.2
eT,A사,y0,AWD,w2,No,Pre-Owned,74.362,196655,72.42,72.42,72.43
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,9942,159.99,159.99,160.0
KNE,H사,y0,FWD,w9,No,Brand New,90.0,7277,24.68,24.68,24.68
ID4,V사,y0,AWD,w2,No,Pre-Owned,60.272,179638,39.56,39.56,39.56
ID4,V사,y0,AWD,w0,No,Pre-Owned,53.325,182374,39.06,39.06,39.73
MS,T사,y0,AWD,w0,No,Pre-Owned,69.253,80979,79.59,79.59,79.59
ID4,V사,y0,AWD,w3,No,Nearly New,62.784,38688,41.0,41.0,41.01
KNE,H사,y0,FWD,w2,No,Pre-Owned,68.488,97960,28.05,28.05,27.32
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,15,126.9,121.0,120.0
Soul,K사,y0,FWD,w5,No,Nearly New,56.0,47163,22.12,22.12,22.13
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,9912,160.07,160.07,160.07
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,6903,160.42,160.42,160.09
EV6,K사,y0,FWD,w9,No,Brand New,90.0,2311,41.18,41.18,41.19
Q4eT,A사,y0,AWD,w3,No,Nearly New,66.861,27860,58.98,58.98,58.99
TayGTS,P사,y0,AWD,w2,Yes,Brand New,90.0,7366,160.33,160.33,160.62
i5,B사,y0,AWD,w2,No,Pre-Owned,63.56,174505,62.42,62.42,62.42
iX,B사,y0,AWD,w7,No,Brand New,90.0,2999,80.56,80.56,80.56
i5,B사,y0,RWD,w8,No,Brand New,90.0,8001,65.69,65.69,65.7
Niro,K사,y0,AWD,w10,No,Brand New,90.0,5410,21.27,21.27,21.27
Niro,K사,y0,FWD,w5,No,Nearly New,56.0,24328,27.95,27.95,27.95
RSeTGT,A사,y0,AWD,w0,No,Pre-Owned,78.227,99753,94.31,94.31,94.6
KNE,H사,y0,FWD,w9,No,Brand New,90.0,6401,23.9,23.9,23.91
eT,A사,y0,AWD,w7,No,Brand New,91.2,7776,64.71,64.71,64.71
