Id,Model,Manufacturer,Model_year,Drivetrain,Warranty,Accident,Condition,Battery,Mileage,Price
TRAIN_0066,ION5,H사,0,AWD,3,No,Pre-Owned,58.162,121459,35.0
TRAIN_0067,i3,B사,0,RWD,7,No,Brand New,,6173,24.93
TRAIN_0068,TayCT,P사,0,AWD,2,No,Nearly New,76.093,20028,131.9
TRAIN_0069,Q4eT,A사,0,AWD,0,No,Pre-Owned,59.154,84938,55.99
TRAIN_0070,RSeTGT,A사,0,AWD,7,No,Brand New,,6690,100.0
TRAIN_0071,ION5,H사,0,AWD,10,No,Brand New,,4691,35.96
TRAIN_0072,RSeTGT,A사,0,AWD,1,No,Pre-Owned,,193173,97.79
TRAIN_0073,eT,A사,0,AWD,7,No,Brand New,91.2,7031,64.67
TRAIN_0074,ID4,V사,0,AWD,4,No,Nearly New,65.4,14226,40.23
TRAIN_0075,Niro,K사,0,AWD,10,No,Brand New,,6879,21.43
TRAIN_0076,ION6,H사,0,AWD,6,No,Nearly New,65.739,44840,37.12
TRAIN_0077,M3,T사,0,RWD,8,No,Brand New,,1670,54.85
TRAIN_0078,KNE,H사,0,FWD,6,No,Nearly New,68.488,39571,27.07
TRAIN_0079,iX,B사,0,RWD,7,No,Brand New,,90,79.21
TRAIN_0080,ION5,H사,0,AWD,10,No,Brand New,90.0,4071,35.86
TRAIN_0081,Niro,K사,0,AWD,4,No,Pre-Owned,50.096,51091,28.91
TRAIN_0082,eT,A사,0,AWD,3,No,Nearly New,77.46,15126,73.26
TRAIN_0083,RSeTGT,A사,0,AWD,8,No,Brand New,90.0,1497,100.65
TRAIN_0084,KNE,H사,2,FWD,8,No,Nearly New,68.488,17063,27.2
TRAIN_0085,ID4,V사,0,AWD,8,No,Brand New,,5465,41.14
TRAIN_0086,ID4,V사,1,AWD,5,No,Nearly New,68.125,39711,41.77
TRAIN_0087,ID4,V사,0,AWD,0,No,Pre-Owned,53.325,118110,39.72
TRAIN_0088,MS,T사,0,AWD,0,No,Pre-Owned,72.139,194348,79.14
TRAIN_0089,MY,T사,2,AWD,6,No,Nearly New,69.12,11004,68.42
TRAIN_0090,EV6,K사,0,FWD,10,No,Brand New,,847,48.95
TRAIN_0091,Soul,K사,2,AWD,8,No,Nearly New,58.982,48074,22.89
TRAIN_0092,eT,A사,0,AWD,7,No,Brand New,91.2,9790,65.67
TRAIN_0093,M3,T사,0,RWD,3,No,Nearly New,61.153,28181,54.0
TRAIN_0094,ID4,V사,0,AWD,7,No,Brand New,90.0,3012,33.99
TRAIN_0095,RSeTGT,A사,0,AWD,7,No,Brand New,,3420,100.0
TRAIN_0096,Soul,K사,0,FWD,4,No,Pre-Owned,50.096,121482,22.72
TRAIN_0097,TayCT,P사,0,AWD,2,No,Nearly New,76.093,33452,130.66
TRAIN_0098,i3,B사,1,AWD,5,No,Nearly New,56.0,14280,23.87
TRAIN_0099,EV6,K사,0,FWD,9,No,Brand New,,2922,40.86
TRAIN_0100,Tay,P사,0,AWD,2,No,Brand New,,6510,104.5
TRAIN_0101,IONIQ,H사,2,FWD,1,No,Pre-Owned,52.78,76769,12.63
TRAIN_0102,TayCT,P사,0,AWD,2,No,Brand New,90.0,4624,120.25
TRAIN_0103,ID4,V사,0,AWD,1,Yes,Pre-Owned,57.861,128164,39.19
TRAIN_0104,iX,B사,0,RWD,7,No,Brand New,90.0,7752,79.53
TRAIN_0105,IONIQ,H사,2,FWD,3,No,Nearly New,48.27,35242,9.0
TRAIN_0106,TayGTS,P사,0,AWD,2,No,Brand New,,4803,160.16
TRAIN_0107,Niro,K사,0,AWD,4,No,Pre-Owned,50.096,124671,27.68
TRAIN_0108,M3,T사,0,RWD,2,No,Pre-Owned,58.707,50261,52.51
TRAIN_0109,ION5,H사,0,AWD,1,No,Pre-Owned,53.602,191458,34.11
TRAIN_0110,EV6,K사,0,FWD,10,No,Brand New,,26,48.83
TRAIN_0111,Soul,K사,0,FWD,9,No,Brand New,,2194,21.05
TRAIN_0112,i5,B사,0,RWD,3,No,Nearly New,66.208,37497,64.45
TRAIN_0113,eT,A사,0,AWD,4,No,Nearly New,80.688,15155,74.06
TRAIN_0114,ION5,H사,0,AWD,5,No,Nearly New,63.11,31284,34.48
TRAIN_0115,TayGTS,P사,0,AWD,2,No,Nearly New,76.156,11401,159.71
TRAIN_0116,i5,B사,0,AWD,8,Yes,Brand New,,4692,65.94
TRAIN_0117,TayGTS,P사,0,AWD,2,No,Brand New,93.4,6513,160.08
TRAIN_0118,Q4eT,A사,0,AWD,3,No,Nearly New,66.861,21017,58.49
TRAIN_0119,Niro,K사,0,FWD,4,No,Pre-Owned,50.096,78209,27.58
TRAIN_0120,TayCT,P사,0,AWD,2,No,Pre-Owned,76.093,77240,128.85
TRAIN_0121,KNE,H사,0,FWD,3,No,Pre-Owned,68.488,137776,27.83
TRAIN_0122,Niro,K사,1,FWD,7,No,Nearly New,56.623,46346,28.18
TRAIN_0123,Tay,P사,0,AWD,2,No,Brand New,,2015,103.02
TRAIN_0124,iX,B사,0,AWD,8,No,Brand New,,9023,80.79
TRAIN_0125,KNE,H사,0,FWD,10,No,Brand New,90.0,6540,22.3
TRAIN_0126,M3,T사,1,RWD,5,No,Nearly New,66.355,18510,53.15
TRAIN_0127,Niro,K사,0,FWD,5,No,Nearly New,56.0,24888,28.23
TRAIN_0128,RSeTGT,A사,0,AWD,0,Yes,Pre-Owned,78.227,129869,94.89
TRAIN_0129,MX,T사,0,AWD,7,No,Brand New,96.0,4921,77.29
TRAIN_0130,ID4,V사,0,AWD,0,No,Pre-Owned,53.325,179014,39.5
TRAIN_0131,eT,A사,0,AWD,8,No,Brand New,95.0,2084,60.31
TRAIN_0132,ID4,V사,0,AWD,8,No,Brand New,,993,40.68
TRAIN_0133,Q4eT,A사,0,AWD,8,No,Brand New,,8577,59.56
TRAIN_0134,ID4,V사,0,AWD,0,No,Pre-Owned,53.325,149105,39.57
TRAIN_0135,TayGTS,P사,0,AWD,2,No,Pre-Owned,73.11,147507,155.97
TRAIN_0136,Soul,K사,0,FWD,2,No,Pre-Owned,46.169,127497,21.84
TRAIN_0137,Q4eT,A사,1,AWD,5,No,Nearly New,72.548,11792,58.77
TRAIN_0138,Soul,K사,0,FWD,6,No,Nearly New,56.0,15148,22.54
TRAIN_0139,i3,B사,0,RWD,0,No,Pre-Owned,46.0,175388,22.23
TRAIN_0140,ID4,V사,0,AWD,7,No,Brand New,90.0,9093,34.94
TRAIN_0141,ION6,H사,0,AWD,10,No,Brand New,,411,38.93
TRAIN_0142,i3,B사,0,AWD,7,No,Brand New,,6451,24.99
TRAIN_0143,IONIQ,H사,0,FWD,3,No,Nearly New,58.77,73469,24.04
TRAIN_0144,MX,T사,0,AWD,8,No,Brand New,99.8,6225,71.95
TRAIN_0145,i3,B사,0,RWD,3,No,Nearly New,56.0,25713,23.29
TRAIN_0146,ION6,H사,2,AWD,8,No,Nearly New,71.332,31336,38.0
TRAIN_0147,Soul,K사,0,AWD,3,No,Pre-Owned,48.093,96195,21.94
TRAIN_0148,Tay,P사,0,AWD,2,No,Brand New,,8475,95.91
TRAIN_0149,TayGTS,P사,0,AWD,2,No,Pre-Owned,64.683,144028,151.11
TRAIN_0150,MY,T사,0,AWD,7,No,Brand New,,6057,64.08
TRAIN_0151,ID4,V사,0,AWD,8,No,Brand New,,2481,40.73
TRAIN_0152,i5,B사,0,RWD,7,No,Brand New,,2369,64.53
TRAIN_0153,IONIQ,H사,2,FWD,3,No,Nearly New,83.08,65046,18.24
TRAIN_0154,IONIQ,H사,0,FWD,1,No,Pre-Owned,,63940,26.81
TRAIN_0155,eT,A사,0,AWD,0,Yes,Pre-Owned,65.791,88489,70.22
TRAIN_0156,TayGTS,P사,0,AWD,2,No,Pre-Owned,73.11,139804,156.5
TRAIN_0157,IONIQ,H사,2,FWD,3,No,Nearly New,,29138,21.78
TRAIN_0158,Niro,K사,2,FWD,8,No,Nearly New,58.982,31687,28.11
TRAIN_0159,ID4,V사,0,AWD,1,No,Pre-Owned,57.861,124885,39.29
TRAIN_0160,ION5,H사,2,AWD,8,No,Nearly New,71.332,23762,34.6
TRAIN_0161,ID4,V사,0,AWD,7,No,Brand New,,6445,34.71
TRAIN_0162,M3,T사,0,RWD,4,No,Nearly New,63.701,26150,53.78
TRAIN_0163,Q4eT,A사,0,AWD,4,No,Nearly New,69.646,47335,59.0
TRAIN_0164,i3,B사,2,AWD,6,No,Nearly New,56.0,14652,24.0
TRAIN_0165,ION6,H사,0,AWD,9,Yes,Brand New,,1573,38.94
TRAIN_0166,Niro,K사,0,AWD,4,No,Pre-Owned,50.096,89510,28.97
TRAIN_0167,RSeTGT,A사,0,AWD,8,No,Brand New,,4058,101.01
TRAIN_0168,ID4,V사,1,AWD,5,No,Nearly New,68.125,24712,40.16
TRAIN_0169,ION5,H사,0,AWD,6,No,Nearly New,65.739,23219,35.0
TRAIN_0170,i3,B사,0,AWD,0,Yes,Pre-Owned,46.0,107418,22.62
TRAIN_0171,Soul,K사,0,FWD,4,No,Pre-Owned,50.096,120184,23.61
TRAIN_0172,EV6,K사,0,FWD,9,No,Brand New,,7866,41.55
TRAIN_0173,Niro,K사,0,AWD,1,No,Pre-Owned,46.0,133686,27.77
TRAIN_0174,ID4,V사,0,AWD,0,No,Pre-Owned,55.547,133531,39.39
TRAIN_0175,iX,B사,0,AWD,7,No,Brand New,,3619,80.12
TRAIN_0176,TayCT,P사,0,AWD,2,No,Brand New,,9289,120.52
TRAIN_0177,MS,T사,0,AWD,8,No,Brand New,99.8,5085,64.71
TRAIN_0178,Soul,K사,0,FWD,9,No,Brand New,,2820,21.15
TRAIN_0179,ION6,H사,0,AWD,3,No,Pre-Owned,58.162,92858,38.0
TRAIN_0180,IONIQ,H사,0,FWD,1,No,Pre-Owned,75.64,22186,12.2
TRAIN_0181,KNE,H사,0,FWD,3,No,Pre-Owned,68.488,63714,27.68
TRAIN_0182,i5,B사,0,RWD,0,No,Pre-Owned,56.234,183069,60.11
TRAIN_0183,i5,B사,0,AWD,1,Yes,Pre-Owned,61.018,160990,62.46
TRAIN_0184,ION5,H사,0,AWD,2,No,Pre-Owned,55.836,126143,33.74
TRAIN_0185,RSeTGT,A사,0,AWD,7,No,Brand New,,7795,100.15
TRAIN_0186,Q4eT,A사,0,AWD,7,No,Brand New,,6320,59.64
TRAIN_0187,i5,B사,0,AWD,1,No,Pre-Owned,61.018,192943,62.66
TRAIN_0188,MX,T사,1,AWD,5,No,Nearly New,,31445,94.36
TRAIN_0189,M3,T사,0,RWD,8,No,Brand New,,4839,54.43
TRAIN_0190,IONIQ,H사,2,FWD,1,No,Pre-Owned,52.06,67838,23.4
TRAIN_0191,Tay,P사,0,AWD,2,No,Brand New,,5974,96.87
TRAIN_0192,TayCT,P사,0,AWD,2,No,Brand New,,7798,130.36
TRAIN_0193,RSeTGT,A사,0,AWD,0,No,Pre-Owned,78.227,130607,94.51
TRAIN_0194,eT,A사,0,AWD,7,No,Brand New,91.2,450,65.88
TRAIN_0195,Niro,K사,0,FWD,9,Yes,Brand New,,7300,24.98
TRAIN_0196,RSeTGT,A사,0,AWD,8,No,Brand New,,3712,100.16
TRAIN_0197,RSeTGT,A사,1,AWD,5,No,Nearly New,,45741,99.19
TRAIN_0198,M3,T사,2,RWD,6,No,Nearly New,69.12,42073,51.21
TRAIN_0199,TayCT,P사,0,AWD,2,No,Brand New,,337,120.48
TRAIN_0200,RSeTGT,A사,1,AWD,5,No,Nearly New,,46410,99.01
TRAIN_0201,iX,B사,0,RWD,8,No,Brand New,90.0,6475,80.56
TRAIN_0202,i3,B사,2,RWD,6,No,Nearly New,56.0,48800,23.96
TRAIN_0203,Niro,K사,0,FWD,10,No,Brand New,,2616,20.98
TRAIN_0204,iX,B사,0,RWD,7,No,Brand New,,2149,80.88
TRAIN_0205,Niro,K사,2,AWD,8,No,Nearly New,58.982,14738,28.3
TRAIN_0206,i5,B사,0,RWD,0,No,Pre-Owned,58.577,169627,61.12
TRAIN_0207,ID4,V사,0,AWD,2,No,Pre-Owned,60.272,141033,39.85
TRAIN_0208,KNE,H사,0,FWD,9,No,Brand New,90.0,1687,25.24
TRAIN_0209,ION6,H사,0,AWD,1,Yes,Pre-Owned,53.602,88699,36.55
TRAIN_0210,ION6,H사,0,AWD,10,No,Brand New,90.0,5459,39.0
TRAIN_0211,Tay,P사,0,AWD,2,No,Nearly New,67.268,14902,120.38
TRAIN_0212,EV6,K사,0,FWD,9,No,Brand New,,3929,39.85
TRAIN_0213,MS,T사,0,AWD,2,No,Pre-Owned,,189904,80.42
TRAIN_0214,RSeTGT,A사,0,AWD,4,No,Nearly New,78.227,15945,99.01
TRAIN_0215,Soul,K사,0,AWD,1,Yes,Pre-Owned,46.0,183295,22.04
TRAIN_0216,ION5,H사,1,AWD,7,No,Nearly New,68.479,14013,34.54
TRAIN_0217,Q4eT,A사,0,AWD,0,No,Pre-Owned,59.154,191296,55.86
TRAIN_0218,eT,A사,0,AWD,3,No,Nearly New,77.46,10004,73.4
TRAIN_0219,TayGTS,P사,0,AWD,2,No,Pre-Owned,67.378,122758,151.04
TRAIN_0220,EV6,K사,0,FWD,10,No,Brand New,,454,48.74
TRAIN_0221,EV6,K사,0,AWD,9,No,Brand New,90.0,3151,40.14
TRAIN_0222,Tay,P사,0,AWD,2,No,Brand New,,3660,104.57
TRAIN_0223,i3,B사,0,RWD,4,No,Nearly New,56.0,24745,23.16
TRAIN_0224,ID4,V사,0,AWD,2,No,Pre-Owned,60.272,127772,40.33
TRAIN_0225,Q4eT,A사,0,AWD,0,No,Pre-Owned,59.154,119056,56.0
TRAIN_0226,ION6,H사,0,AWD,9,No,Brand New,,9618,38.93
TRAIN_0227,MY,T사,0,AWD,2,No,Pre-Owned,58.707,64532,76.13
TRAIN_0228,eT,A사,0,AWD,2,No,Pre-Owned,74.362,193451,71.91
TRAIN_0229,ID4,V사,0,AWD,8,No,Brand New,,9943,40.48
TRAIN_0230,TayGTS,P사,0,AWD,2,No,Brand New,,2004,160.09
TRAIN_0231,i3,B사,0,RWD,4,No,Nearly New,56.0,37868,23.95
TRAIN_0232,i3,B사,0,AWD,7,Yes,Brand New,,8648,24.38
TRAIN_0233,RSeTGT,A사,0,AWD,7,No,Brand New,,1353,100.2
TRAIN_0234,ION5,H사,0,AWD,9,No,Brand New,90.0,1625,35.86
TRAIN_0235,i3,B사,1,AWD,5,No,Nearly New,56.0,25325,24.0
TRAIN_0236,ION6,H사,0,AWD,4,No,Pre-Owned,60.585,197440,37.96
TRAIN_0237,Niro,K사,2,FWD,8,No,Nearly New,58.982,41909,28.6
TRAIN_0238,ION6,H사,0,AWD,1,No,Pre-Owned,53.602,127577,36.91
TRAIN_0239,EV6,K사,0,FWD,10,No,Brand New,,2430,47.74
TRAIN_0240,KNE,H사,0,FWD,3,No,Pre-Owned,68.488,75915,28.95
TRAIN_0241,ION6,H사,0,AWD,6,No,Nearly New,65.739,12053,37.99
TRAIN_0242,i5,B사,0,RWD,2,No,Pre-Owned,63.56,99735,62.35
TRAIN_0243,TayCT,P사,0,AWD,2,No,Brand New,,7260,120.0
TRAIN_0244,Tay,P사,0,AWD,2,No,Brand New,,1138,95.66
TRAIN_0245,ID4,V사,0,AWD,7,No,Brand New,,3288,33.18
TRAIN_0246,Q4eT,A사,2,AWD,6,No,Nearly New,75.571,24251,52.08
TRAIN_0247,TayGTS,P사,0,AWD,2,No,Pre-Owned,73.11,80468,156.19
TRAIN_0248,Soul,K사,0,FWD,5,No,Nearly New,56.0,26048,23.48
TRAIN_0249,EV6,K사,0,AWD,10,No,Brand New,,3660,47.42
TRAIN_0250,Niro,K사,0,AWD,5,No,Nearly New,56.0,43611,27.34
TRAIN_0251,EV6,K사,0,FWD,9,No,Brand New,,2634,40.15
TRAIN_0252,ID4,V사,0,AWD,7,No,Brand New,,8004,34.21
TRAIN_0253,MY,T사,0,AWD,8,No,Brand New,,9413,75.48
TRAIN_0254,IONIQ,H사,0,FWD,1,No,Pre-Owned,,22289,9.77
TRAIN_0255,EV6,K사,0,FWD,10,No,Brand New,,6708,47.91
TRAIN_0256,eT,A사,0,AWD,4,No,Nearly New,,33992,73.27
TRAIN_0257,ION6,H사,0,AWD,6,No,Nearly New,65.739,29261,37.67
TRAIN_0258,Niro,K사,0,FWD,5,No,Nearly New,56.0,26126,28.75
TRAIN_0259,TayCT,P사,0,AWD,2,No,Brand New,,8691,130.6
TRAIN_0260,Niro,K사,0,FWD,5,No,Nearly New,56.0,46331,28.32
TRAIN_0261,ION6,H사,0,AWD,3,No,Pre-Owned,58.162,143239,38.0
TRAIN_0262,Q4eT,A사,2,AWD,6,No,Nearly New,75.571,19074,52.4
TRAIN_0263,i3,B사,0,RWD,2,No,Pre-Owned,46.0,124709,23.46
TRAIN_0264,Tay,P사,0,AWD,2,No,Brand New,,2353,104.54
TRAIN_0265,i3,B사,0,RWD,2,No,Pre-Owned,46.0,120152,23.45
TRAIN_0266,ID4,V사,0,AWD,0,No,Pre-Owned,55.547,152916,38.63
TRAIN_0267,Niro,K사,0,FWD,3,No,Pre-Owned,48.093,149913,28.35
TRAIN_0268,IONIQ,H사,0,FWD,1,No,Pre-Owned,79.6,35181,18.46
TRAIN_0269,TayGTS,P사,0,AWD,2,No,Pre-Owned,70.185,140500,155.98
TRAIN_0270,Soul,K사,1,AWD,7,No,Nearly New,56.623,35505,22.64
TRAIN_0271,IONIQ,H사,2,FWD,3,No,Nearly New,58.35,70295,17.77
TRAIN_0272,KNE,H사,0,FWD,9,No,Brand New,,6642,24.48
TRAIN_0273,TayGTS,P사,0,AWD,2,No,Brand New,,6579,160.06
TRAIN_0274,Soul,K사,1,FWD,7,No,Nearly New,56.623,21727,22.88
TRAIN_0275,MX,T사,0,AWD,0,No,Pre-Owned,69.253,105614,88.95
TRAIN_0276,ION6,H사,0,AWD,3,No,Pre-Owned,58.162,184803,37.93
TRAIN_0277,IONIQ,H사,2,FWD,1,No,Pre-Owned,69.38,79763,15.43
TRAIN_0278,RSeTGT,A사,0,AWD,7,Yes,Brand New,,5391,100.0
TRAIN_0279,Q4eT,A사,0,AWD,1,No,Pre-Owned,61.619,75036,57.79
TRAIN_0280,TayGTS,P사,0,AWD,2,No,Brand New,,4243,160.19
TRAIN_0281,ID4,V사,0,AWD,7,No,Brand New,,7470,33.39
TRAIN_0282,EV6,K사,0,FWD,9,No,Brand New,,5501,41.42
TRAIN_0283,ION5,H사,1,AWD,7,No,Nearly New,68.479,29582,34.88
TRAIN_0284,M3,T사,0,RWD,7,No,Brand New,,1889,47.18
TRAIN_0285,i3,B사,0,AWD,1,No,Pre-Owned,46.0,151674,23.45
TRAIN_0286,ID4,V사,0,AWD,7,No,Brand New,,7558,33.72
TRAIN_0287,eT,A사,0,AWD,7,No,Brand New,91.2,7292,64.55
TRAIN_0288,KNE,H사,0,FWD,9,No,Brand New,,5563,24.55
TRAIN_0289,TayCT,P사,0,AWD,2,No,Brand New,90.0,7877,120.0
TRAIN_0290,ION5,H사,1,AWD,7,No,Nearly New,68.479,49380,34.94
TRAIN_0291,RSeTGT,A사,0,AWD,0,Yes,Pre-Owned,,175481,94.94
TRAIN_0292,TayGTS,P사,0,AWD,2,No,Pre-Owned,64.683,118368,151.0
TRAIN_0293,RSeTGT,A사,0,AWD,0,No,Pre-Owned,,188472,94.02
TRAIN_0294,TayGTS,P사,0,AWD,2,No,Pre-Owned,64.683,50932,151.07
TRAIN_0295,iX,B사,0,RWD,7,No,Brand New,90.0,4026,79.89
TRAIN_0296,eT,A사,0,AWD,2,No,Pre-Owned,74.362,52824,72.32
TRAIN_0297,KNE,H사,0,FWD,6,No,Nearly New,68.488,15984,27.89
TRAIN_0298,RSeTGT,A사,0,AWD,8,No,Brand New,,627,100.14
TRAIN_0299,Q4eT,A사,0,AWD,7,No,Brand New,,4510,59.86
TRAIN_0300,TayCT,P사,0,AWD,2,No,Pre-Owned,76.093,121106,127.93
TRAIN_0301,ID4,V사,0,AWD,8,No,Brand New,,7001,39.39
TRAIN_0302,ION5,H사,0,AWD,4,No,Pre-Owned,60.585,54765,35.0
TRAIN_0303,Q4eT,A사,1,AWD,5,No,Nearly New,72.548,16269,58.19
TRAIN_0304,Niro,K사,0,AWD,6,No,Nearly New,56.0,25790,29.03
TRAIN_0305,RSeTGT,A사,0,AWD,8,No,Brand New,,268,100.78
TRAIN_0306,iX,B사,0,AWD,7,No,Brand New,,4422,80.08
TRAIN_0307,i5,B사,0,RWD,2,No,Pre-Owned,63.56,53548,61.87
TRAIN_0308,TayCT,P사,0,AWD,2,No,Brand New,,8863,129.74
TRAIN_0309,i3,B사,0,RWD,7,No,Brand New,,999,24.98
TRAIN_0310,iX,B사,0,RWD,8,No,Brand New,,2806,80.38
TRAIN_0311,iX,B사,0,RWD,7,No,Brand New,,6535,79.19
TRAIN_0312,ID4,V사,1,AWD,5,No,Nearly New,68.125,20002,41.51
TRAIN_0313,eT,A사,0,AWD,8,No,Brand New,95.0,603,60.42
TRAIN_0314,TayGTS,P사,0,AWD,2,No,Brand New,93.4,1000,160.84
TRAIN_0315,TayGTS,P사,0,AWD,2,No,Pre-Owned,73.11,117701,155.8
TRAIN_0316,Niro,K사,0,AWD,1,No,Pre-Owned,46.0,178187,26.72
TRAIN_0317,iX,B사,0,AWD,8,No,Brand New,,7807,80.79
TRAIN_0318,RSeTGT,A사,0,AWD,1,No,Pre-Owned,,192734,97.06
TRAIN_0319,MX,T사,0,AWD,7,No,Brand New,96.0,8184,78.95
TRAIN_0320,Tay,P사,0,AWD,2,No,Pre-Owned,54.849,122983,115.41
TRAIN_0321,Tay,P사,0,AWD,2,Yes,Pre-Owned,59.515,196262,119.29
TRAIN_0322,Soul,K사,0,FWD,2,No,Pre-Owned,46.169,130235,22.63
TRAIN_0323,ION6,H사,0,AWD,2,No,Pre-Owned,55.836,66781,37.17
TRAIN_0324,MS,T사,0,AWD,7,No,Brand New,96.0,4453,69.94
TRAIN_0325,MY,T사,0,AWD,8,No,Brand New,90.0,8107,75.93
TRAIN_0326,ION5,H사,0,AWD,10,No,Brand New,,673,36.0
